"filename", "language", "Markdown", "YAML", "Dart", "JSON", "HTML", "Properties", "Groovy", "XML", "C++", "Swift", "comment", "blank", "total"
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\lib\donation_view_edit\donation_view_edit_widget.dart", "Dart", 0, 0, 571, 0, 0, 0, 0, 0, 0, 0, 2, 14, 587
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\lib\flutter_flow\custom_functions.dart", "Dart", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 13, 81
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\lib\flutter_flow\flutter_flow_expanded_image_view.dart", "Dart", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 4, 65
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\lib\flutter_flow\flutter_flow_theme.dart", "Dart", 0, 0, 177, 0, 0, 0, 0, 0, 0, 0, 1, 14, 192
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\lib\flutter_flow\flutter_flow_toggle_icon.dart", "Dart", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\lib\flutter_flow\flutter_flow_util.dart", "Dart", 0, 0, 188, 0, 0, 0, 0, 0, 0, 0, 0, 24, 212
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\lib\flutter_flow\flutter_flow_widgets.dart", "Dart", 0, 0, 158, 0, 0, 0, 0, 0, 0, 0, 0, 12, 170
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\lib\flutter_flow\internationalization.dart", "Dart", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 13, 45
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\lib\flutter_flow\lat_lng.dart", "Dart", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\lib\flutter_flow\place.dart", "Dart", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 6, 47
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\lib\flutter_flow\upload_media.dart", "Dart", 0, 0, 217, 0, 0, 0, 0, 0, 0, 0, 2, 16, 235
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\lib\index.dart", "Dart", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 1, 25
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\lib\leaderboards\leaderboards_widget.dart", "Dart", 0, 0, 464, 0, 0, 0, 0, 0, 0, 0, 4, 5, 473
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\lib\main.dart", "Dart", 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 1, 15, 94
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\lib\manage_donations\manage_donations_widget.dart", "Dart", 0, 0, 315, 0, 0, 0, 0, 0, 0, 0, 3, 5, 323
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\lib\manage_punts\manage_punts_widget.dart", "Dart", 0, 0, 488, 0, 0, 0, 0, 0, 0, 0, 7, 5, 500
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\lib\monitor_fees\monitor_fees_widget.dart", "Dart", 0, 0, 166, 0, 0, 0, 0, 0, 0, 0, 2, 5, 173
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\lib\profile\profile_widget.dart", "Dart", 0, 0, 466, 0, 0, 0, 0, 0, 0, 0, 2, 5, 473
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\lib\punt\punt_widget.dart", "Dart", 0, 0, 342, 0, 0, 0, 0, 0, 0, 0, 2, 7, 351
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\lib\punt_view_edit\punt_view_edit_widget.dart", "Dart", 0, 0, 407, 0, 0, 0, 0, 0, 0, 0, 1, 13, 421
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\lib\punt_view_place\punt_view_place_widget.dart", "Dart", 0, 0, 423, 0, 0, 0, 0, 0, 0, 0, 1, 7, 431
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\lib\season\season_widget.dart", "Dart", 0, 0, 532, 0, 0, 0, 0, 0, 0, 0, 1, 8, 541
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\lib\team_edit\team_edit_widget.dart", "Dart", 0, 0, 262, 0, 0, 0, 0, 0, 0, 0, 1, 6, 269
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\lib\team_members_edit\team_members_edit_widget.dart", "Dart", 0, 0, 145, 0, 0, 0, 0, 0, 0, 0, 1, 6, 152
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\lib\teams\teams_widget.dart", "Dart", 0, 0, 203, 0, 0, 0, 0, 0, 0, 0, 2, 5, 210
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\lib\user_history\user_history_widget.dart", "Dart", 0, 0, 371, 0, 0, 0, 0, 0, 0, 0, 3, 5, 379
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\pubspec.yaml", "YAML", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 44, 17, 130
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\test\widget_test.dart", "Dart", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 7, 4, 19
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\web\index.html", "HTML", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 15, 11, 67
"c:\Users\jarry\Dev\Flutter\good-will-punting-v2\web\manifest.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"Total", "-", 22, 69, 14551, 374, 41, 9, 111, 131, 1, 32, 252, 885, 16478
